SubscriptionId,InstitutionName,NewJiscBand,Sector,JC Institution Name,AccountStatus,OrderDate,ResourceName,SubscriptionStart,SubscriptionExpiry,AgreementName,AgreementStartDate,AgreementEndDate,LicenceType,Country,SubscriptionStatus,Agreement Type
48524.0,University_College_London,Band 1,Higher Education,University College London,Active,2014-09-19,"OUP Online Databases package 2014-2017, for existing HE subscribers",2014-09-19,2017-08-31,Jisc Collections Oxford University Press OUP Online Products Aug 2017,2014-09-01,2017-08-31,Sublicence,England,Request sent,Yearly Agreement
48651.0,University_College_London,Band 1,Higher Education,University College London,Active,2014-09-26,BFI InView  (2014-18),2014-09-26,2018-08-31,HEFCE British Film Institute BFI Inview Aug 2018,2014-09-01,2018-08-31,Sublicence,England,Active,Free Agreement
48402.0,University_of_Aberdeen,Band 5,Higher Education,University of Aberdeen,Active,2014-09-12,"OUP Online Databases package 2014-2017, for existing HE subscribers",2014-09-12,2017-08-31,Jisc Collections Oxford University Press OUP Online Products Aug 2017,2014-09-01,2017-08-31,Sublicence,Scotland,Request sent,Yearly Agreement
48629.0,University_of_Aberdeen,Band 5,Higher Education,University of Aberdeen,Active,2014-09-26,BFI InView  (2014-18),2014-09-26,2018-08-31,HEFCE British Film Institute BFI Inview Aug 2018,2014-09-01,2018-08-31,Sublicence,Scotland,Active,Free Agreement
48513.0,University_of_Bath,Band 5,Higher Education,University of Bath,Active,2014-09-18,"OUP Online Databases package 2014-2017, for existing HE subscribers",2014-09-18,2017-08-31,Jisc Collections Oxford University Press OUP Online Products Aug 2017,2014-09-01,2017-08-31,Sublicence,England,Request sent,Yearly Agreement
48466.0,University_of_Bedfordshire,Band 5,Higher Education,University of Bedfordshire,Active,2014-09-16,"OUP Online Databases package 2014-2017, for existing HE subscribers",2014-09-16,2017-08-31,Jisc Collections Oxford University Press OUP Online Products Aug 2017,2014-09-01,2017-08-31,Sublicence,England,Request sent,Yearly Agreement
48655.0,University_of_Bedfordshire,Band 5,Higher Education,University of Bedfordshire,Active,2014-09-29,BFI InView  (2014-18),2014-09-29,2018-08-31,HEFCE British Film Institute BFI Inview Aug 2018,2014-09-01,2018-08-31,Sublicence,England,Active,Free Agreement
48430.0,University_of_Bolton,Band 8,Higher Education,University of Bolton,Active,2014-09-15,"OUP Online Databases package 2014-2017, for existing HE subscribers",2014-09-15,2017-08-31,Jisc Collections Oxford University Press OUP Online Products Aug 2017,2014-09-01,2017-08-31,Sublicence,England,Request sent,Yearly Agreement
48499.0,University_of_Bradford,Band 5,Higher Education,University of Bradford,Active,2014-09-17,"OUP Online Databases package 2014-2017, for existing HE subscribers",2014-09-17,2017-08-31,Jisc Collections Oxford University Press OUP Online Products Aug 2017,2014-09-01,2017-08-31,Sublicence,England,Request sent,Yearly Agreement
48650.0,University_of_Bradford,Band 5,Higher Education,University of Bradford,Active,2014-09-26,Journal and Highly Cited Data (JHCD) - Upgrade for JCR 3 Year Commitment Subscribers,2014-10-01,2016-09-30,Jisc Collections Thomson Reuters Journal and Highly Cited Data Upgrade Sept 2016,2014-10-01,2016-09-30,Sublicence,England,Request sent,Yearly Agreement
