org_id,org_name,org_shortcode
"502","University of East Anglia","University_of_East_Anglia"
"503","University of East London","University_of_East_London"
"504","University of Edinburgh","University_of_Edinburgh"
"505","University of Essex","University_of_Essex"
"506","University of Exeter","University_of_Exeter"
"507","University of Glamorgan","University_of_Glamorgan"
"508","University of Glasgow","University_of_Glasgow"
"509","University of Gloucestershire","University_of_Gloucestershire"
"510","University of Greenwich","University_of_Greenwich"
"511","University of Hertfordshire","University_of_Hertfordshire"
"512","University of Huddersfield","University_of_Huddersfield"
"513","University of Hull","University_of_Hull"
"514","University of Kent","University_of_Kent"
"515","University of Leeds","University_of_Leeds"
"516","University of Leicester","University_of_Leicester"
"517","University of Lincoln","University_of_Lincoln"
"518","University of Liverpool","University_of_Liverpool"
"519","University of London","University_of_London"
"520","University of Manchester","University_of_Manchester"
"521","University of Northampton","University_of_Northampton"
"522","University of Nottingham","University_of_Nottingham"
"523","University of Oxford","University_of_Oxford"
"524","University of Plymouth","University_of_Plymouth"
"525","University of Portsmouth","University_of_Portsmouth"
"526","University of Reading","University_of_Reading"
"527","University of Salford","University_of_Salford"
"528","University of Sheffield","University_of_Sheffield"
"1038","University of South Wales","University_of_South_Wales"
"529","University of Southampton","University_of_Southampton"
"530","University of St Andrews","University_of_St_Andrews"
"531","University of Stirling","University_of_Stirling"
"532","University of Strathclyde","University_of_Strathclyde"
"533","University of Sunderland","University_of_Sunderland"
"534","University of Surrey","University_of_Surrey"
"535","University of Sussex","University_of_Sussex"
"540","University of Ulster","University_of_Ulster"
"541","University of Wales Newport","University_of_Wales_Newport"
"542","University of Wales Trinity St David","University_of_Wales_Trinity_St_David"
"543","University of Warwick","University_of_Warwick"
"544","University of West London","University_of_West_London"
"545","University of Westminster","University_of_Westminster"
"546","University of Winchester","University_of_Winchester"
"547","University of Wolverhampton","University_of_Wolverhampton"
"548","University of Worcester","University_of_Worcester"
"549","University of York","University_of_York"
"536","University of the Arts London","University_of_the_Arts_London"
"537","University of the Highlands and Islands","University_of_the_Highlands_and_Islands"
"538","University of the West of England","University_of_the_West_of_England"
"539","University of the West of Scotland","University_of_the_West_of_Scotland"
"189","WHEEL","WHEEL"
"550","Wellcome Trust","Wellcome_Trust"
"551","Writtle College","Writtle_College"
"552","York St John University","York_St_John_University"
