SubscriptionId,InstitutionName,NewJiscBand,Sector,JC Institution Name,AccountStatus,OrderDate,ResourceName,SubscriptionStart,SubscriptionExpiry,AgreementName,AgreementStartDate,AgreementEndDate,LicenceType,Country,SubscriptionStatus,Agreement Type,Column
51179,"Queen_Mary,_University_of_London",Band 3,Higher Education,"Queen Mary, University of London",Active,2015-04-16,Journal Negotiation Charges 2015,2015-01-01,2015-12-31,Journal transaction fees 2015 info,2015-01-01,2015-12-31,Sublicence,England,Request sent,Consortia Agreement,
51283,Ravensbourne_College_of_Design_and_Communication,Band 10,Higher Education,Ravensbourne,Active,2015-04-22,Geology Digimap: 2010-2016 Agreement,2015-04-22,2016-07-31,JISC Collections Natural Environment Research Council British Geological Survey Data July 2016,2010-08-01,2016-07-31,Sublicence,England,Active,Yearly Agreement,
51284,Ravensbourne_College_of_Design_and_Communication,Band 10,Higher Education,Ravensbourne,Active,2015-04-22,Historic Digimap 2013-2016 agreement,2015-04-22,2016-07-31,Landmark_Information_Group_JISC_Collections_August_2016_sub-licence,2013-08-01,2016-07-31,Sublicence,England,Active,Yearly Agreement,
51180,Robert_Gordon_University,Band 7,Higher Education,Robert Gordon University,Active,2015-04-16,Journal Negotiation Charges 2015,2015-01-01,2015-12-31,Journal transaction fees 2015 info,2015-01-01,2015-12-31,Sublicence,Scotland,Request sent,Consortia Agreement,
51181,"Royal_Holloway,_University_of_London",Band 6,Higher Education,"Royal Holloway, University of London",Active,2015-04-16,Journal Negotiation Charges 2015,2015-01-01,2015-12-31,Journal transaction fees 2015 info,2015-01-01,2015-12-31,Sublicence,England,Request sent,Consortia Agreement,
51182,Scotland’s_Rural_College,Band 8,Higher Education,Scotland's Rural College,Active,2015-04-16,Journal Negotiation Charges 2015,2015-01-01,2015-12-31,Journal transaction fees 2015 info,2015-01-01,2015-12-31,Sublicence,Scotland,Request sent,Consortia Agreement,
51098,Sheffield_Hallam_University,Band 4,Higher Education,Sheffield Hallam University,Active,2015-04-02,"ProQuest Archives 2014-2017 (House of Commons Parliamentary Papers, British Periodicals Collections I and II, Periodicals Archive Online: Jisc Collections Selection, Early European Books Parts 1-4, and the Vogue Archive)",2015-04-02,2017-10-31,"Jisc Collections ProQuest 18 19 20 C House of Commons Parliamentary Papers, British Periodicals Collection I & II, Periodicals Archive Online Jisc Coll Selection, Early European Books 1-4 and The Vogue Archive October 2017",2014-11-01,2017-10-31,Sublicence,England,Active,Yearly Agreement,
51183,Sheffield_Hallam_University,Band 4,Higher Education,Sheffield Hallam University,Active,2015-04-16,Journal Negotiation Charges 2015,2015-01-01,2015-12-31,Journal transaction fees 2015 info,2015-01-01,2015-12-31,Sublicence,England,Request sent,Consortia Agreement,
51184,Southampton_Solent_University,Band 6,Higher Education,Southampton Solent University,Active,2015-04-16,Journal Negotiation Charges 2015,2015-01-01,2015-12-31,Journal transaction fees 2015 info,2015-01-01,2015-12-31,Sublicence,England,Request sent,Consortia Agreement,
51185,St_George's_University_of_London,Band 7,Higher Education,St George's University of London,Active,2015-04-16,Journal Negotiation Charges 2015,2015-01-01,2015-12-31,Journal transaction fees 2015 info,2015-01-01,2015-12-31,Sublicence,England,Request sent,Consortia Agreement,
