SubscriptionId,InstitutionName,NewJiscBand,Sector,JC Institution Name,AccountStatus,OrderDate,ResourceName,SubscriptionStart,SubscriptionExpiry,AgreementName,AgreementStartDate,AgreementEndDate,LicenceType,Country,SubscriptionStatus,Agreement Type
49966.0,Aberystwyth_University,Band 6,Higher Education,Aberystwyth University,Active,2014-12-09,Wiley Online Library WHELF Journals 2015-2017,2015-01-01,2017-12-31,Wiley Online Library WHELF Journals 2015-2017,2015-01-01,2017-12-31,Direct,Wales,Active,Consortia Agreement
50023.0,Aberystwyth_University,Band 6,Higher Education,Aberystwyth University,Active,2014-12-10,Nature Publishing Group Journals 2015,2015-01-01,2015-12-31,Nature Publishing Group Journals 2015,2015-01-01,2015-12-31,Sublicence,Wales,Request sent,NESLi2 Agreement
50054.0,Aberystwyth_University,Band 6,Higher Education,Aberystwyth University,Active,2014-12-11,CUP Journals 2015 (Cambridge University Press),2015-01-01,2015-12-31,Cambridge University Press Journals 2015,2015-01-01,2015-12-31,Direct,Wales,Request sent,NESLi2 Agreement
50124.0,Aberystwyth_University,Band 6,Higher Education,Aberystwyth University,Active,2014-12-16,Project MUSE Journals Agreement 2015 to 2017,2015-01-01,2017-12-31,Jisc Collections Johns Hopkins University Press Project MUSE Dec 2017,2015-01-01,2017-12-31,Sublicence,Wales,Active,NESLi2 Agreement
50217.0,Aberystwyth_University,Band 6,Higher Education,Aberystwyth University,Active,2014-12-18,IOP Publishing Jisc Collections 2015 agreement - Option 1,2015-01-01,2015-12-31,IOP Publishing Jisc Collections 2015 agreement - Option 1,2015-01-01,2015-12-31,Direct,Wales,Active,NESLi2 Agreement
50260.0,Anglia_Ruskin_University,Band 5B,Higher Education,Anglia Ruskin University,Active,2014-12-22,Project MUSE Journals Agreement 2015 to 2017,2015-01-01,2017-12-31,Jisc Collections Johns Hopkins University Press Project MUSE Dec 2017,2015-01-01,2017-12-31,Sublicence,England,Active,NESLi2 Agreement
50279.0,Anglia_Ruskin_University,Band 5B,Higher Education,Anglia Ruskin University,Active,2014-12-23,SAGE Premier Jisc Collections 2015-16 Journals Agreement,2015-01-01,2016-12-31,Jisc Collections SAGE Premier agreement 2015-16,2015-01-01,2016-12-31,Sublicence,England,Request sent,NESLi2 Agreement
49842.0,Aston_University,Band 6,Higher Education,Aston University,Active,2014-12-02,IOP Publishing Jisc Collections 2015 agreement - Option 2,2015-01-01,2015-12-31,IOP Publishing Jisc Collections 2015 agreement - Option 2,2015-01-01,2015-12-31,Direct,England,Active,NESLi2 Agreement
49967.0,Bangor_University,Band 5B,Higher Education,Bangor University,Active,2014-12-09,Wiley Online Library WHELF Journals 2015-2017,2015-01-01,2017-12-31,Wiley Online Library WHELF Journals 2015-2017,2015-01-01,2017-12-31,Direct,Wales,Active,Consortia Agreement
50063.0,Bangor_University,Band 5B,Higher Education,Bangor University,Active,2014-12-12,BioOne Complete Journals SMP 2015 offer,2015-01-01,2015-12-31,Jisc Collections BioOne Dec 2015,2015-01-01,2015-12-31,Direct,Wales,Active,NESLi2 Agreement
50064.0,Bangor_University,Band 5B,Higher Education,Bangor University,Active,2014-12-12,Nature Publishing Group Journals 2015,2015-01-01,2015-12-31,Nature Publishing Group Journals 2015,2015-01-01,2015-12-31,Sublicence,Wales,Request sent,NESLi2 Agreement
50256.0,Bangor_University,Band 5B,Higher Education,Bangor University,Active,2014-12-22,Annual Reviews Journals 2015-2017 Agreement,2015-01-01,2017-12-31,Jisc Collections Annual Reviews Journal Agreement Dec 2017,2015-01-01,2017-12-31,Sublicence,Wales,Active,NESLi2 Agreement
50179.0,Bournemouth_University,Band 5B,Higher Education,Bournemouth University,Active,2014-12-18,SAGE Premier Jisc Collections 2015-16 Journals Agreement,2015-01-01,2016-12-31,Jisc Collections SAGE Premier agreement 2015-16,2015-01-01,2016-12-31,Sublicence,England,Request sent,NESLi2 Agreement
49854.0,Brunel_University,Band 5B,Higher Education,Brunel University,Active,2014-12-03,Nature Publishing Group Journals 2015,2015-01-01,2015-12-31,Nature Publishing Group Journals 2015,2015-01-01,2015-12-31,Sublicence,England,Active,NESLi2 Agreement
49859.0,Brunel_University,Band 5B,Higher Education,Brunel University,Active,2014-12-03,IOP Publishing Jisc Collections 2015 agreement - Option 1,2015-01-01,2015-12-31,IOP Publishing Jisc Collections 2015 agreement - Option 1,2015-01-01,2015-12-31,Direct,England,Active,NESLi2 Agreement
49860.0,Brunel_University,Band 5B,Higher Education,Brunel University,Active,2014-12-03,SAGE Premier Jisc Collections 2015-16 Journals Agreement,2015-01-01,2016-12-31,Jisc Collections SAGE Premier agreement 2015-16,2015-01-01,2016-12-31,Sublicence,England,Active,NESLi2 Agreement
49863.0,Brunel_University,Band 5B,Higher Education,Brunel University,Active,2014-12-03,Taylor & Francis Journals and OA Offset Agreement 2015-2017,2015-01-01,2017-12-31,Taylor and Francis Journals and Offset 2015-2017,2015-01-01,2017-12-31,Direct,England,Active,NESLi2 Agreement
49941.0,Brunel_University,Band 5B,Higher Education,Brunel University,Active,2014-12-08,BMJ Journals Agreement 2015-2016,2015-01-01,2016-12-31,Jisc Collections BMJ Journals Dec 2016,2015-01-01,2016-12-31,Direct,England,Request sent,NESLi2 Agreement
