SubscriptionId,InstitutionName,NewJiscBand,Sector,JC Institution Name,AccountStatus,OrderDate,ResourceName,SubscriptionStart,SubscriptionExpiry
47790,University_of_Reading,Band 5,Higher Education,University of Reading,Active,7/29/14 13:20,EBSCO Education Databases,2014-08-01,2017-07-31
47488,University_of_Salford,Band 5,Higher Education,University of Salford,Active,7/14/14 9:33,Portico eJournals (2014-2017),2014-07-14,2017-06-30
47764,University_of_Salford,Band 5,Higher Education,University of Salford,Active,7/28/14 9:45,a-n The Artists Information Company 2014-17,2014-08-01,2017-07-31
47765,University_of_Salford,Band 5,Higher Education,University of Salford,Active,7/28/14 9:49,EBSCO Education Databases,2014-08-01,2017-07-31
47658,University_of_Sheffield,Band 3,Higher Education,University of Sheffield,Active,7/21/14 14:51,EBSCO Education Databases,2014-08-01,2017-07-31
47451,University_of_South_Wales,Band 5,Higher Education,University of South Wales,Active,7/10/14 9:08,The Times Digital Archive (1785-2008) WHEEL 2014-2017,2014-08-01,2017-07-31
47533,University_of_South_Wales,Band 5,Higher Education,University of South Wales,Active,7/15/14 16:41,a-n The Artists Information Company 2014-17,2014-08-01,2017-07-31
47539,University_of_Southampton,Band 3,Higher Education,University of Southampton,Active,7/16/14 10:04,Annual Reviews NESLi2 2012 to 2014 agreement (Annual commitment - 2014 only) ,2014-07-16,2014-12-31
47625,University_of_Southampton,Band 3,Higher Education,University of Southampton,Active,7/18/14 14:19,Portico eJournals (2014-2017),2014-07-18,2017-06-30
47626,University_of_Southampton,Band 3,Higher Education,University of Southampton,Active,7/18/14 14:22,Portico eBooks (2014-2017),2014-07-18,2017-06-30
47729,University_of_Southampton,Band 3,Higher Education,University of Southampton,Active,7/24/14 12:36,"The Burney Collection, 19th Century British Library Newspapers and 19th Century UK Periodicals Online Series 1 (2014 - 2017)",2014-08-01,2017-07-31
47806,University_of_Southampton,Band 3,Higher Education,University of Southampton,Active,7/30/14 10:17,Environment Digimap (2014-2015),2014-08-01,2015-07-31
47815,University_of_Southampton,Band 3,Higher Education,University of Southampton,Active,7/30/14 14:18,Jisc eCollections for Higher Education Institutions 2014-2017,2014-08-01,2017-07-31
47592,University_of_St_Andrews,Band 5,Higher Education,University of St Andrews,Active,7/17/14 15:21,LOCKSS (Lots Of Copies Keep Stuff Safe) UK Alliance Membership 2014-15,2014-08-01,2015-07-31
