SubscriptionId,InstitutionName,NewJiscBand,Sector,JC Institution Name,AccountStatus,OrderDate,ResourceName,SubscriptionStart,SubscriptionExpiry,AgreementName,AgreementStartDate,AgreementEndDate,LicenceType,Country,SubscriptionStatus,Agreement Type
50996,University_of_Gloucestershire,Band 7,Higher Education,University of Gloucestershire,Active,2015-03-13,Digimap Ordnance Survey Collection�  2014-2016,2015-03-13,2016-07-31,Digimap Main HE and FE Licence with End User Licence Agreement 2014,2014-08-01,2016-07-31,Sublicence,England,Active,Yearly Agreement
50922,University_of_Exeter,Band 4,Higher Education,University of Exeter,Active,2015-03-04,IOP Journal Archive 1874-1998 (access period 2015 to 2019),2015-03-04,2019-12-31,Jisc Collections Institute of Physics IOP Archive Dec 2019,2015-01-01,2019-12-31,Direct,England,Request sent,Free Agreement
51012,University_of_Exeter,Band 4,Higher Education,University of Exeter,Active,2015-03-16,Annual Reviews Journals 2015-2017 Agreement,2015-03-16,2017-12-31,Jisc Collections Annual Reviews Journal Agreement Dec 2017,2015-01-01,2017-12-31,Sublicence,England,Active,NESLi2 Agreement
50911,University_of_Edinburgh,Band 2,Higher Education,University of Edinburgh,Active,2015-03-02,Digimap Ordnance Survey Collection�  2014-2016,2015-03-02,2016-07-31,Digimap Main HE and FE Licence with End User Licence Agreement 2014,2014-08-01,2016-07-31,Sublicence,Scotland,Active,Yearly Agreement
50990,University_of_Edinburgh,Band 2,Higher Education,University of Edinburgh,Active,2015-03-12,JSTOR - Arts & Sciences XIII Collection 2012-15 renewal,2015-03-12,2015-07-31,HEFCE JSTOR JSTOR Archive July 2026,2013-08-01,2015-07-31,Direct,Scotland,Request sent,Yearly Agreement
50991,University_of_Edinburgh,Band 2,Higher Education,University of Edinburgh,Active,2015-03-12,JSTOR Arts & Sciences XIV Collection 2012-15 Renewal,2015-03-12,2015-07-31,Jisc Collections JSTOR July 2026 Sub Lic July 2015,2014-08-01,2015-07-31,Direct,Scotland,Request sent,Yearly Agreement
51010,University_of_Edinburgh,Band 2,Higher Education,University of Edinburgh,Active,2015-03-16,Cairn Collections 2014 - 2017,2015-03-16,2016-12-31,Jisc Collections Cairn Cairn Collections 2014-2017,2014-01-01,2016-12-31,Direct,Scotland,Request sent,Yearly Agreement
51036,University_of_East_London,Band 5B,Higher Education,University of East London,Active,2015-03-19,Digimap Ordnance Survey Collection�  2014-2016,2015-03-19,2016-07-31,Digimap Main HE and FE Licence with End User Licence Agreement 2014,2014-08-01,2016-07-31,Sublicence,England,Active,Yearly Agreement
50937,University_of_East_Anglia,Band 5A,Higher Education,University of East Anglia,Active,2015-03-05,IOP Journal Archive 1874-1998 (access period 2015 to 2019),2015-03-05,2019-12-31,Jisc Collections Institute of Physics IOP Archive Dec 2019,2015-01-01,2019-12-31,Direct,England,Request sent,Free Agreement
50894,University_of_Dundee,Band 4,Higher Education,University of Dundee,Active,2015-03-02,IOP Journal Archive 1874-1998 (access period 2015 to 2019),2015-03-02,2019-12-31,Jisc Collections Institute of Physics IOP Archive Dec 2019,2015-01-01,2019-12-31,Direct,Scotland,Request sent,Free Agreement
50939,University_of_Derby,Band 6,Higher Education,University of Derby,Active,2015-03-05,"ProQuest Archives 2014-2017 (House of Commons Parliamentary Papers, British Periodicals Collections I and II, Periodicals Archive Online: Jisc Collections Selection, Early European Books Parts 1-4, and the Vogue Archive)",2015-03-05,2017-10-31,"Jisc Collections ProQuest 18 19 20 C House of Commons Parliamentary Papers, British Periodicals Collection I & II, Periodicals Archive Online Jisc Coll Selection, Early European Books 1-4 and The Vogue Archive October 2017",2014-11-01,2017-10-31,Sublicence,England,Active,Yearly Agreement
50983,University_of_Chester,Band 7,Higher Education,University of Chester,Active,2015-03-12,IMechE SMP 2015-2016 offer,2015-03-12,2016-12-31,Jisc Collections SAGE IMechE SMP 2015-2016,2015-01-01,2016-12-31,Sublicence,England,Active,NESLi2 Agreement
50919,University_of_Cambridge,Band 1,Higher Education,University of Cambridge Central Science Library,Active,2015-03-03,IMechE SMP 2015-2016 offer,2015-03-03,2016-12-31,Jisc Collections SAGE IMechE SMP 2015-2016,2015-01-01,2016-12-31,Sublicence,England,Active,NESLi2 Agreement
50928,University_of_Cambridge,Band 1,Higher Education,University of Cambridge Central Science Library,Active,2015-03-04,ICE Publishing Journals SMP 2015-2016 offer,2015-03-04,2016-12-31,Jisc Collections Institution of Civil Engineers Journals SMP Dec 2016,2015-01-01,2016-12-31,Direct,England,Active,NESLi2 Agreement
50938,University_of_Brighton,Band 5B,Higher Education,University of Brighton,Active,2015-03-05,Early English Books Online - Text Creation Partnership 2014-2016,2015-03-05,2016-12-31,"HEFC Proquest Information and Learning Early English Books Online in perpetuity and Jisc Collections The Chancellor, Masters and Scholars of the University of Oxford Early English Books Online Text files Phase 2 in perpetuity",2014-01-01,2016-12-31,Sublicence,England,Active,Yearly Agreement
50940,University_of_Brighton,Band 5B,Higher Education,University of Brighton,Active,2015-03-05,Digimap Ordnance Survey Collection�  2014-2016,2015-03-05,2016-07-31,Digimap Main HE and FE Licence with End User Licence Agreement 2014,2014-08-01,2016-07-31,Sublicence,England,Active,Yearly Agreement
50912,University_of_Bradford,Band 5B,Higher Education,University of Bradford,Active,2015-03-03,IOP Journal Archive 1874-1998 (access period 2015 to 2019),2015-03-03,2019-12-31,Jisc Collections Institute of Physics IOP Archive Dec 2019,2015-01-01,2019-12-31,Direct,England,Request sent,Free Agreement
50970,University_of_Birmingham,Band 2,Higher Education,University of Birmingham,Active,2015-03-11,SAGE Premier Jisc Collections 2015-16 Journals Agreement,2015-03-11,2016-12-31,Jisc Collections SAGE Premier agreement 2015-16,2015-01-01,2016-12-31,Sublicence,England,Active,NESLi2 Agreement
