SubscriptionId,InstitutionName,NewJiscBand,Sector,JC Institution Name,AccountStatus,OrderDate,ResourceName,SubscriptionStart,SubscriptionExpiry,AgreementName,AgreementStartDate,AgreementEndDate,LicenceType,Country,SubscriptionStatus,Agreement Type
37446,University_of_Hull,Band 5,Band D,University of Hull,Higher Education,2012-06-01,"19th Century UK Periodicals Online, Series 1 2012-2015 Agreement",2012-08-01,2015-07-31,JISC Collections Gale International Ltd 19th Century UK Periodicals Online (Series 1) perpetual,2012-08-01,2015-07-31,Direct,Active,Yearly Agreement,
43190,University_of_Hull,Band 5,Band D,University of Hull,Higher Education,2013-07-19,American Chemical Society Legacy Archives ,2013-08-01,2113-07-31,Jisc Collections American Chemical Society ACS Legacy Archive perpetual,2013-08-01,2113-07-31,Sublicence,Active,Free Agreement,
39861,University_of_Hull,Band 5,Band D,University of Hull,Higher Education,2012-09-21,American Chemical Society NESLi2 2013-15 agreement,2013-01-01,2015-12-31,JISC Collections American Chemical Society December 2015,2013-01-01,2015-12-31,Sublicence,Active,NESLi2 Agreement,
45667,University_of_Hull,Band 5,Band D,University of Hull,Higher Education,2014-01-07,American Institute of Physics (AIP) NESLi2 - 2014 to 2016 agreement,2014-01-07,2016-12-31,Jisc Collections American Institutute of Physics NESLi2 December 2016,2014-01-01,2016-12-31,Direct,Request sent,NESLi2 Agreement,
25836,University_of_Hull,Band 5,Band D,University of Hull,Higher Education,2009-12-14,BFI InView ,2009-12-14,2014-08-31,HEFCE British Film Institute BFI Inview August 2018,2009-09-01,2014-08-31,Sublicence,Active,Free Agreement,
25879,University_of_Hull,Band 5,Band D,University of Hull,Higher Education,2010-02-22,BIOSIS Previews Backfile 1969-2008,2010-02-22,2112-09-30,JISC Collections Thomson Reuters (Scientific) Inc Biosis Previews 1969-2011 in perpetuity,2009-10-01,2112-09-30,Sublicence,Active,Free Agreement,
42447,University_of_Hull,Band 5,Band D,University of Hull,Higher Education,2013-06-12,"Brill Journal Archive Online Parts 1, 1a and 2  (JOBA1 & 2) - Vol 1 to 2009 - June 2013 to December 2018",2013-06-12,2018-12-31,JISC Collections Koninklijke Brill NV Brill Journal Archive Online JOBA1 & 2 Perpetual Access Licence No Exp Date,2013-01-01,2018-12-31,Sublicence,Active,Free Agreement,
43263,University_of_Hull,Band 5,Band D,University of Hull,Higher Education,2013-07-24,Britannica Online Academic Edition - 2013 to 2015,2013-08-01,2015-07-31,Jisc Collections Enc Britannica Britannica Online Academic Editiona and Image Quest July 2015 ,2013-08-01,2015-07-31,Sublicence,Active,Yearly Agreement,
40625,University_of_Hull,Band 5,Band D,University of Hull,Higher Education,2012-11-16,Bureau van Dijk Databases 2012-2015 Agreement ,2012-12-01,2015-11-30,JISC Collections Bureau van Dijk Electronic Publishing Ltd Bureau van Dijk Databases November 2015,2012-12-01,2015-11-30,Sublicence,Active,Yearly Agreement,
33184,University_of_Hull,Band 5,Band D,University of Hull,Higher Education,2010-11-23,Cambridge Journals Digital Archive,2010-11-23,2015-06-30,JISC Collections Cambridge University Press Cambridge Journals Digital Archive no expiry date,2010-08-12,2015-06-30,Sublicence,Active,Free Agreement,
