Provider,American Society for Biochemistry and Molecular Biology
Package Identifier,american_society_for_biochemistry_and_molecular_biology_master
Package Name,American Society for Biochemistry and Molecular Biology:Master
Agreement Term Start Year,01/01/2014
Agreement Term End Year,31/12/2100
Consortium,""
publication_title,ID.issn,ID.eissn,date_first_issue_online,num_first_vol_online,num_first_issue_online,date_last_issue_online,num_last_vol_online,num_last_issue_online,embargo_info,coverage_depth,coverage_notes,publisher_name,ID.doi,platform.host.name,platform.host.url,platform.administrative.name,platform.administrative.url,hybrid_oa,access_start_date,access_end_date
Journal of Biological Chemistry,0021-9258,,,,,,,,,fulltext,,,,American Society for Biochemistry and Molecular Biology,http://www.kbplus.ac.uk/kbplus/noHostPlatformUrl,,,,,
Journal of Lipid Research,1539-7262,,,,,,,,,fulltext,,,,American Society for Biochemistry and Molecular Biology,http://www.kbplus.ac.uk/kbplus/noHostPlatformUrl,,,,,
