Notes,KB_ID,KB_Name,JUSP_ID,ISNI,IP_ADDRESS
,444,Northumbria University,nth,0000 0001 2196 5555,192.173.1.000 - 192.173.4.182; 192.173.4.184; 192.173.4.186 - 192.173.4.255; 193.63.32.000 - 193.63.39.255; 212.219.152.000 - 212.219.159.255; 212.219.25.000 - 212.219.34.255
,445,Norwich University College of the Arts,nca,0000 0001 2221 8981 ,212.219.140*; 212.219.141*; 194.83.56.144 - 159
,446,Nottingham Trent University,ntu,0000 0001 0727 0669 ,152.71.*.*; 194.82.121.59
,447,Oxford Brookes University,bro,0000 0001 0726 8331,161.73.*.*;
,448,Queen Margaret University,qmu,0000 0004 0398 1641,193.62.47.*; 194.83.30.*; 194.83.92.*; 194.83.93.*;
,449,"Queen Mary, University of London",qmw,0000 0001 2171 1133,138.37.*.* 161.23.*.*
,450,Queen's University Belfast,qub,0000 0004 0374 7521,205.227.90.161; 205.227.90.250; 143.117.*.* (exc. 143.117.16.37 & 143.117.16.38)
,451,Ravensbourne College of Design and Communication,,0000 0000 8610 0475,194.35.93.*
,1141,Regent's University London,,,
,452,Robert Gordon University,rgu,0000 0001 2324 1681 ,194.66.84.*; 193.63.235.*
,453,Roehampton University,roe,0000 0001 0468 7274 ,194.80.240.0-194.80.255.255
,454,Rose Bruford College,,0000 0004 0516 2201 ,194.83.197.1 - 254;
,1142,Royal Academy of Arts,,,
,455,Royal Academy of Music,,0000 0004 0430 8475,193.61.65.100
,456,Royal Agricultural University (formerly Royal Agricultural College),rac,0000 0001 2186 5933 ,194.80.134.136 – 194.80.134.143
,457,Royal College of Art,,0000 0004 0425 5385 ,194.80.196.0-255; 194.80.197.0-255; 194.80.198.0-255; 194.80.199.0-255;
,458,Royal College of Music,,0000 0001 2155 0536 ,194.81.216.1 - 254
,459,Royal Conservatoire of Scotland,rsa,0000 0000 8895 0553 ,194.81.230.*
,460,"Royal Holloway, University of London",rhu,0000 0001 2188 881X ,134.219.0.0-134.219.115.255; 134.219.116.16-134.219.223.255; 134.219.225.0-134.219.255.255
,461,Royal Northern College of Music,rnc,0000 0001 2297 7072,193.63.96.* - 193.63.99.*;
,462,"Royal Veterinary College, University of London",rvc,0000 0004 0425 573X,195.195.217.0 – 195.195.217.255
,463,Royal Welsh College of Music & Drama,rwc,0000 0001 0791 2158,194.82.127.0 - 194.82.127.255  and  194.66.205.0 - 194.66.205.255
,464,School of Oriental and African Studies,soa,0000 0001 2108 3878 ,195.195.176-183.*; 212.219.136-139.*; 212.219.236-239.*
,193,SHEDL,,,
,467,Sheffield Hallam University,shu,0000 0001 0303 540X,143.52.*.*;
,468,Southampton Solent University,ssu,0000 0000 9723 6888 ,194.81.145.*-159.*; 193.63.196.*-197.*; 193.63.200.*;
,469,St George's University of London,sgu,0000 0004 0425 6185,194.82.50.2; 194.82.51.27; 194.82.51.28
,470,St Mary's University College Belfast,,0000 0004 0374 7716,194.80.47.2 - 194.80.47.31
,471,"St Mary's University College, Twickenham",stm,0000 0004 0637 1734,194.80.236-239.*; 165.193.178.77; 37.130.253.174
,472,Staffordshire University,sff,0000 0001 0686 3366,194.66.175.*; 195.195.104-111.*
,473,Stranmillis University College,,0000 0004 0644 0242,194.80.104.1 - 254
,474,Swansea Metropolitan University  (UWTSD),smu,,
,475,Swansea University,swa,0000 0001 0658 8800,137.44.*.*
,476,Teesside University,tee,0000 0001 2325 1783,152.105.*.*
,1048,The Francis Crick Institute,,,
,478,The Open University,ope,0000 0000 9606 9301,137.108.145.*; 137.108.143.99; 137.108.143.133
,479,Trinity Laban Conservatoire of Music and Dance,tlc,0000 0001 0660 361X,194.82.96.254; 194.82.98.254; 195.195.131.*
,480,University Campus Suffolk,ucs,0000 0004 0628 6070,194.80.204.0-255
,481,University College Birmingham,,0000 0001 0274 9232 ,NULL
