publication_title,print_identifier,online_identifier,date_first_issue_online,num_first_vol_online,num_first_issue_online,date_last_issue_online,num_last_vol_online,num_last_issue_online,title_url,first_author,title_id,embargo_info,coverage_depth,coverage_notes,publisher_name,identifier.jusp,hybrid_oa
"Journal of Design Research","1569-1551","",2001-01-01,1,1,,,,"http://www.inderscience.com/jhome.php?jcode=JDR",,"","","","","","","null"
"International Journal of Lean Enterprise Research","1754-2294","1754-2308",2014-01-01,1,1,,,,"http://inderscience.metapress.com/content/122904/",,"","","fulltext","New (2014)","","","null"
"International Journal of Information Systems and Management","1751-3227","1751-3235",2014-01-01,1,1-2,,,,"http://inderscience.metapress.com/content/122905/",,"","","fulltext","New (2014)","","","null"
"International Journal of Sustainable Development","1741-5268","",,,,,,,"http://www.kbplus.ac.uk/kbplus/noHostPlatformUrl",,"","","fulltext","","","","null"
