publication_title,print_identifier,online_identifier,date_first_issue_online,num_first_vol_online,num_first_issue_online,date_last_issue_online,num_last_vol_online,num_last_issue_online,title_url,first_author,title_id,embargo_info,coverage_depth,coverage_notes,publisher_name,identifier.jusp,hybrid_oa
"Sacris Erudiri","0771-7776","",,,,,,,"http://www.kbplus.ac.uk/kbplus/noHostPlatformUrl",,"","","fulltext","","","","null"
"Mediaeval Journal","2033-5393","",,,,,,,"http://www.kbplus.ac.uk/kbplus/noHostPlatformUrl",,"","","fulltext","","","","null"
"Nottingham Medieval Studies","0078-2122","",,,,,,,"http://www.kbplus.ac.uk/kbplus/noHostPlatformUrl",,"","","fulltext","","","","null"
"Journal of Medieval Monastic Studies","2034-3523","",,,,,,,"http://www.kbplus.ac.uk/kbplus/noHostPlatformUrl",,"","","fulltext","","","","null"
"Medieval Low Countries","2295-3493","",,,,,,,"http://www.kbplus.ac.uk/kbplus/noHostPlatformUrl",,"","","fulltext","","","","null"
