identifier,oldname,newname,enddate
536,Genetics Society of America:Master:2014,Genetics Society of America:Master,2100-01-01
989,Geographical Association:Master:2014,Geographical Association:Master,2100-01-01
495,Geological Society of America:Master:2014,Geological Society of America:Master,2100-01-01
711,Georg Thieme Verlag:Master:2014,Georg Thieme Verlag:Master,2100-01-01
710,Giancarlo Politi Editore:Master:2014,Giancarlo Politi Editore:Master,2100-01-01
709,Global to Local Foundation:Master:2014,Global to Local Foundation:Master,2100-01-01
708,Go Publishing:Master:2014,Go Publishing:Master,2100-01-01
707,Greenleaf Publishing:Master:2014,Greenleaf Publishing:Master,2100-01-01
706,Groupe Expansion:Master:2014,Groupe Expansion:Master,2100-01-01
705,Grupo 16:Master:2014,Grupo 16:Master,2100-01-01
704,Guardian Magazines:Master:2014,Guardian Magazines:Master,2100-01-01
886,Guardian News and Media:Master:2014,Guardian News and Media:Master,2100-01-01
703,Guilford Publications:Master:2014,Guilford Publications:Master,2100-01-01
702,Guineapiguana Publications:Master:2014,Guineapiguana Publications:Master,2100-01-01
955,Gunter Narr Verlag:Master:2014,Gunter Narr Verlag:Master,2100-01-01
701,Guthrum House:Master:2014,Guthrum House:Master,2100-01-01
722,Habla Con Ene:Master:2014,Habla Con Ene:Master,2100-01-01
724,Hachette Filipacchi:Master:2014,Hachette Filipacchi:Master,2100-01-01
721,Hali Publications:Master:2014,Hali Publications:Master,2100-01-01
434,Hart Publishing:Master:2014,Hart Publishing:Master,2100-01-01
720,Harvard Business School:Master:2014,Harvard Business School:Master,2100-01-01
581,Harvard Graduate School of Education:Master:2014,Harvard Graduate School of Education:Master,2100-01-01
719,Harvard Law Review Association:Master:2014,Harvard Law Review Association:Master,2100-01-01
718,Haymarket:Master:2014,Haymarket:Master,2100-01-01
988,Hayward Medical Commmunications:Master:2014,Hayward Medical Commmunications:Master,2100-01-01
717,HCB Publishing:Master:2014,HCB Publishing:Master,2100-01-01
716,Hearst Communications:Master:2014,Hearst Communications:Master,2100-01-01
