identifier,oldname,newname,enddate
848,Turps Banana Magazine:Master:2014,Turps Banana Magazine:Master,2100-01-01
849,UKSG:Master:2014,UKSG:Master,2100-01-01
850,Ultra-FIT:Master:2014,Ultra-FIT:Master,2100-01-01
875,Universities Federation for Animal Welfare:Master:2014,Universities Federation for Animal Welfare:Master,2100-01-01
851,University Film & Video Association:Master:2014,University Film & Video Association:Master,2100-01-01
450,University of California Press:Master:2014,University of California Press:Master,2100-01-01
451,University of Chicago:Master:2014,University of Chicago:Master,2100-01-01
914,University of Miami - Rosenstiel School of Marine and Atmospheric Science:Master:2014,University of Miami - Rosenstiel School of Marine and Atmospheric Science:Master,2100-01-01
874,"University of Rochester, Department of English:Master:2014","University of Rochester, Department of English:Master",2100-01-01
852,University of Surrey:Master:2014,University of Surrey:Master,2100-01-01
853,University of Texas Press:Master:2014,University of Texas Press:Master,2100-01-01
588,University of Wales Press:Master:2014,University of Wales Press:Master,2100-01-01
868,University of Wales:Master:2014,University of Wales:Master,2100-01-01
871,University of Wisconsin Press:Master:2014,University of Wisconsin Press:Master,2100-01-01
905,US Naval Institute:Master:2014,US Naval Institute:Master,2100-01-01
938,Vanity Fair Publications:Master:2014,Vanity Fair Publications:Master,2100-01-01
438,Vathek Publishing:Master:2014,Vathek Publishing:Master,2100-01-01
930,Visual Talent:Master:2014,Visual Talent:Master,2100-01-01
854,W B Saunders:Master:2014,W B Saunders:Master,2100-01-01
103,Walter De Gruyter:Master:2012,Walter De Gruyter:Master,2100-01-01
855,Wanderlust Publications:Master:2014,Wanderlust Publications:Master,2100-01-01
815,"Warburg Institute, University of London:Master:2014","Warburg Institute, University of London:Master",2100-01-01
856,WARC:Master:2014,WARC:Master,2100-01-01
857,Waterlow Information Services:Master:2014,Waterlow Information Services:Master,2100-01-01
858,Wenner Media Inc:Master:2014,Wenner Media Inc:Master,2100-01-01
816,White Horse Press:Master:2014,White Horse Press:Master,2100-01-01
442,Whiting and Birch:Master:2014,Whiting and Birch:Master,2100-01-01
396,Wiley:Master:2014,Wiley:Master,2100-01-01
859,Wimborne Publishing:Master:2014,Wimborne Publishing:Master,2100-01-01
861,Wooden Boat Publications:Master:2014,Wooden Boat Publications:Master,2100-01-01
862,World Illustrated:Master:2014,World Illustrated:Master,2100-01-01
860,World Meteorological Organization:Master:2014,World Meteorological Organization:Master,2100-01-01
617,World Scientific:Master:2014,World Scientific:Master,2100-01-01
863,World Tourism Organization:Master:2014,World Tourism Organization:Master,2100-01-01
865,Writers International:Master:2014,Writers International:Master,2100-01-01
864,Writers' News:Master:2014,Writers' News:Master,2100-01-01
940,Yachting Press:Master:2014,Yachting Press:Master,2100-01-01
869,Yale Law Journal Company:Master:2014,Yale Law Journal Company:Master,2100-01-01
970,Youth & Policy:Master:2014,Youth & Policy:Master,2100-01-01
14,American Institute of Physics:Open Access:2012,American Institute of Physics:Open Access,2100-01-01
725,American Meteorological Society:Open Access Collection:2014,American Meteorological Society:Open Access,2100-01-02
412,BioOne:Open Access Journals:2014,BioOne:Open Access,2100-01-03
728,Brill:Open Access Collection:2014,Brill:Open Access,2100-01-04
727,Cambridge University Press:Open Access Titles:2014,Cambridge University Press:Open Access,2100-01-05
555,Elsevier:ScienceDirect Open Access:2014,Elsevier:ScienceDirect:Open Access,2100-01-06
497,Independent Scholarly Publishers Group:Open Access:2014,Independent Scholarly Publishers Group:Open Access,2100-01-07
590,Institute of Physics:Open Access Titles:2014,Institute of Physics:Open Access,2100-01-08
382,Nature Publishing Group:Open Access:2014,Nature Publishing Group:Open Access,2100-01-09
170,SAGE:NESLI2:The Royal Society of Medicine Open Access,SAGE:NESLI2:The Royal Society of Medicine Open Access,2100-01-10
478,SAGE:Open Access:2014,SAGE:Open Access,2100-01-11
1,Springer:Open Access Hybrid,Springer:Open Access,2100-01-12
475,Walter De Gruyter:Open Access:2014,Walter De Gruyter:Open Access,2100-01-13
559,Wiley:Online Library Open Access:2014,Wiley:Online Library Open Access,2100-01-14
